model,seed,params,inference_ms,inference_ms_std,timing_iterations,device
ModelA_species,42,5868952,9.870026440005404,1.2987369954121695,100,Tesla T4
ModelA_species,43,5868952,9.664724429997023,1.1035895325849772,100,Tesla T4
ModelA_species,44,5868952,9.751479929996094,1.303152539432277,100,Tesla T4
ModelB_freshness,42,5862547,13.193454760003078,1.9683794994300685,100,Tesla T4
ModelB_freshness,43,5862547,9.411349510005493,0.9995846882522492,100,Tesla T4
ModelB_freshness,44,5862547,9.671757199998865,1.128302294046954,100,Tesla T4
ModelC_flat24,42,5889448,9.757926729987503,1.1574080150423096,100,Tesla T4
ModelC_flat24,43,5889448,13.549232730001677,2.3266338618144027,100,Tesla T4
ModelC_flat24,44,5889448,9.838809750006021,1.1303280617729246,100,Tesla T4
ModelD_EW,42,5872795,9.542595710001933,1.0514061621762882,100,Tesla T4
ModelD_EW,43,5872795,12.002847830021892,2.703438761804616,100,Tesla T4
ModelD_EW,44,5872795,10.50837209001429,2.2571755028899747,100,Tesla T4
ModelD_UW,42,5872795,10.014582730009352,1.5993804690051663,100,Tesla T4
ModelD_UW,43,5872795,9.933675120000771,1.1889909087891393,100,Tesla T4
ModelD_UW,44,5872795,9.858560940017469,1.2347514673095301,100,Tesla T4
ModelD_DWA,42,5872795,12.133559170003991,3.3421385524567087,100,Tesla T4
ModelD_DWA,43,5872795,9.779566789986802,0.9876878674998637,100,Tesla T4
ModelD_DWA,44,5872795,9.875475789997381,1.1058667799374364,100,Tesla T4
