task,metric,model_a,model_b,n_seeds,per_seed_differences,mean_difference,std_difference,consistent_sign,direction
species,f1_macro,ModelD_EW,ModelD_Cond,3,"{42: 0.0004422151077028147, 43: 0.0012598465949265059, 44: -0.0015634120261145412}",4.621655883825978e-05,0.0014526900730533591,False,mixed
freshness,f1_macro,ModelD_EW,ModelD_Cond,3,"{42: 0.03404046712501996, 43: 0.018613247738999306, 44: 0.02010372680933392}",0.024252480557784395,0.008509341498909551,True,b_better
freshness,qwk,ModelD_EW,ModelD_Cond,3,"{42: 0.052653020350981516, 43: 0.027448384795915493, 44: 0.0012699268638440842}",0.027123777336913697,0.025693084703452912,True,b_better
joint,joint_accuracy,ModelD_EW,ModelD_Cond,3,"{42: 0.03577235772357723, 43: 0.014634146341463428, 44: 0.019512195121951237}",0.023306233062330633,0.011068063878949656,True,b_better
species,f1_macro,ModelC_flat24,ModelD_Cond,3,"{42: 0.011466585854553624, 43: 0.00215327379579755, 44: 0.0007267652050412243}",0.0047822082851308,0.005832615991802275,True,b_better
freshness,f1_macro,ModelC_flat24,ModelD_Cond,3,"{42: 0.01241172524315215, 43: -0.042320715488197824, 44: 0.008558774096461774}",-0.007116738716194633,0.030548343548505223,False,mixed
freshness,qwk,ModelC_flat24,ModelD_Cond,3,"{42: 0.013911372035993241, 43: -0.06065756669070255, 44: 0.0010588638073907308}",-0.015229110282439525,0.03986358276258751,False,mixed
joint,joint_accuracy,ModelC_flat24,ModelD_Cond,3,"{42: 0.01788617886178856, 43: -0.04390243902439017, 44: 0.004878048780487809}",-0.007046070460704601,0.032574480653261115,False,mixed
