species_idx,species,n_train,n_test,ModelD_EW,ModelC_flat24,ModelD_Cond,cond_minus_ew,cond_minus_flat24
1,Eleutheronema Tetradactylum,168,36,0.7129629629629631,0.8148148148148149,0.7592592592592592,0.04629629629629606,-0.05555555555555569
2,Johnius Trachycephalus,168,36,0.6944444444444443,0.75,0.7685185185185185,0.07407407407407418,0.01851851851851849
3,Nibea Albiflora,286,68,0.7352941176470589,0.7843137254901961,0.7794117647058822,0.04411764705882337,-0.004901960784313819
0,Chanos Chanos,350,76,0.7280701754385964,0.7543859649122807,0.763157894736842,0.03508771929824561,0.00877192982456132
4,Oreochromis Mossambicus,448,78,0.8247863247863249,0.8803418803418803,0.8376068376068376,0.012820512820512775,-0.042735042735042694
6,Rastrelliger Faughni,537,107,0.8037383177570093,0.822429906542056,0.8037383177570093,0.0,-0.01869158878504673
5,Oreochromis Niloticus,540,122,0.7349726775956285,0.7404371584699453,0.7213114754098361,-0.013661202185792365,-0.0191256830601092
7,Upeneus Moluccensis,558,92,0.7101449275362319,0.7173913043478262,0.7681159420289855,0.05797101449275355,0.05072463768115931
